#,Gender,Age,Income,Camelback,Herschel,Northface,Air Jordan,Nike,Sketchers,Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,headlamp,maglight,Speaker - beats,Speaker - cheap,Speaker - qsc,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,Couch - modern,Couch - leather,Pen - ballpoint,Pen - ink,Pen - mont blanc,Calculator - simple,Calculator - advanced,Calculator - app,Sunglasses - aviators,Sunglasses - Oakley,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,Hip hop/ street wear,Fashion blogs / OOTD,Korean dramas/ Asian style,Thrifting/ Flea markets,Please enter your Mechanical Turk worker ID here.,Start Date (UTC),Submit Date (UTC),Network ID
6cc3b3e7f85755be5be166bf0ba819e9,Male,18 - 24,"$50,000 - $74,999",,,Northface,Air Jordan,Nike,,Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,,,,,,Speaker - beats,Speaker - cheap,Speaker - qsc,,,,,,,Couch - normal,Couch - modern,Couch - leather,,Pen - ink,Pen - mont blanc,,Calculator - advanced,,Sunglasses - aviators,Sunglasses - Oakley,,Laptop - lenovo,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,,,Coding,Finding deals/ couponing,Car enthusiast,,,,,,A30GCTXJ17JC3I,7/20/17 20:39,7/20/17 20:40,72e7d362a2
835d93f8e4dcffad2af1b4c726e1ec2e,Male,18 - 24,"Below $35,000",,,,Air Jordan,,,Apple ear pods,,Beats ear buds,Flip phone,iPhone,Samsung,,,,Nalgene,,,,,,Speaker - beats,,Speaker - qsc,,,,,,,Couch - normal,Couch - modern,,,,,,,,,,Sunglasses - generic,,,laptop - mac,,,Sports/ running/ workout,,,,,Coding,,Car enthusiast,,,,,,AA0AU5KTGOHQR,7/20/17 20:39,7/20/17 20:40,7412fbab82
d3a2c3fe7526fffa0dd9483b69f7a090,Male,25 - 34,"$35,000 - $49,999",,,,,Nike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop - surface,,,,,Listening to/ playing music,,,,,,,,,,,,A2FY943XQ73SFP,7/20/17 20:39,7/20/17 20:40,d39a793ecc
e49ac97f6fa3f219e321cdb39e54a2d4,Female,35 - 45,"$50,000 - $74,999",,,Northface,,Nike,Sketchers,Apple ear pods,Bose ear buds,Beats ear buds,,iPhone,Samsung,,,,Nalgene,,,Keychain flashlight,headlamp,maglight,,,,Bowl - pattern,Bowl - rustic,,,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,,Couch - leather,,,,Calculator - simple,Calculator - advanced,Calculator - app,Sunglasses - aviators,,,,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,Museums/ photography/ art,,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,,,Car enthusiast,Foodie/ fine dining,,,,Thrifting/ Flea markets,A35TBUQNEMNPL6,7/20/17 20:38,7/20/17 20:40,2604:6000:
154144a0db9aed4c09ec151bbc6df843,Male,35 - 45,"Below $35,000",,,Northface,,,Sketchers,,Bose ear buds,Beats ear buds,,,Samsung,,Smart watch,Digital watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop - lenovo,,,Hiking/ camping/ outdoors,,,,,,,,,,,,,,,AUJPYSYU7YL5,7/20/17 20:38,7/20/17 20:40,58aa1c1b23
925d90de75a230c01d8cbcb2d447949d,Female,18 - 24,"$35,000 - $49,999",,,,,,,Apple ear pods,,,,iPhone,,,,Digital watch,Nalgene,,,,,,,,,,,,Toothbrush - design,,,,,Couch - leather,,,,,,,,,,,,laptop - mac,,,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,,,,,Thrifting/ Flea markets,AHCQ696UVFBX,7/20/17 20:39,7/20/17 20:40,2600:8800:
f2e2755d7b0fd62a32d1f13b6678ec8d,Male,25 - 34,"Below $35,000",,,,,,,,,Beats ear buds,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunglasses - Oakley,,,,,,,,,,,,,,Car enthusiast,,Hip hop/ street wear,,,,A110TF61JJR34O,7/20/17 20:38,7/20/17 20:40,be211975db
e6d2487a5fec2ca2b394f0af8d05576f,Male,25 - 34,"Below $35,000",Camelback,Herschel,Northface,,Nike,Sketchers,Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,,Digital watch,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,,maglight,,,,Bowl - pattern,Bowl - rustic,Bowl - simple,,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,Couch - modern,Couch - leather,Pen - ballpoint,,Pen - mont blanc,Calculator - simple,Calculator - advanced,Calculator - app,,Sunglasses - Oakley,,Laptop - lenovo,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,,,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,Coding,Finding deals/ couponing,,,,,,Thrifting/ Flea markets,AT6KZZ2OTABWK,7/20/17 20:38,7/20/17 20:40,2405:204:7
442dc90f80b6266616e1e6c796f457a5,Male,46+,"$50,000 - $74,999",,,Northface,,,,Apple ear pods,,Beats ear buds,,,,,,,Nalgene,,,,headlamp,maglight,,,,,,,,,,Couch - normal,,,,,,,,,,Sunglasses - Oakley,,,,,Hiking/ camping/ outdoors,,,Listening to/ playing music,,Movies/ Netflix/ TV,,,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,,,,Thrifting/ Flea markets,A2UNSF09FWX9S8,7/20/17 20:39,7/20/17 20:40,fadc8c9e12
49bf81272d930d8d0e3591ef5a24565b,Male,35 - 45,"Below $35,000",,Herschel,Northface,,,,,,Beats ear buds,,,,,,,,,,Keychain flashlight,headlamp,maglight,,,Speaker - qsc,Bowl - pattern,Bowl - rustic,Bowl - simple,,Toothbrush - normal,,,,Couch - leather,,,,,,,Sunglasses - aviators,Sunglasses - Oakley,,,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,Museums/ photography/ art,,,,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,,,Foodie/ fine dining,,,,Thrifting/ Flea markets,AYPRRGPMODOAX,7/20/17 20:38,7/20/17 20:40,1a43eea33d
dfd3aa95e2a102da1a7f56576101fd95,Female,25 - 34,"Below $35,000",,Herschel,Northface,,Nike,,Apple ear pods,Bose ear buds,Beats ear buds,,iPhone,,,Smart watch,Digital watch,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,,maglight,Speaker - beats,Speaker - cheap,Speaker - qsc,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,Couch - modern,Couch - leather,,,,,Calculator - advanced,Calculator - app,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,,,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,Finding deals/ couponing,,,,Fashion blogs / OOTD,,,A233ONYNWKDIYF,7/20/17 20:39,7/20/17 20:40,5104fa9f74
c825da41969c439d85c94ae5b0c02cf2,Female,35 - 45,"Below $35,000",Camelback,Herschel,Northface,,Nike,,Apple ear pods,,,,iPhone,,,Smart watch,,,,,,,,,,Speaker - qsc,,,Bowl - simple,,,Toothbrush - Sonicare,Couch - normal,,Couch - leather,,,,,,,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,,Hiking/ camping/ outdoors,,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,Fashion blogs / OOTD,,,A2EFC625UP735,7/20/17 20:39,7/20/17 20:41,2601:640:8
347c6c7758dcb415d686ad80ca5033a4,Female,25 - 34,"$50,000 - $74,999",,,,,,,,,Beats ear buds,,iPhone,Samsung,,,,,,Swell bottle,Keychain flashlight,,,,,,,,,,Toothbrush - normal,,Couch - normal,,,,,Pen - mont blanc,,,,,,,Laptop - lenovo,,laptop - mac,,,,Listening to/ playing music,Travel/ roadtrips/ exploration,,,,,,,,Fashion blogs / OOTD,,Thrifting/ Flea markets,A3914P24XPNPY3,7/20/17 20:38,7/20/17 20:41,922780a0e6
6af19e99942e717f227dfdc8d74a30c6,Male,25 - 34,"$50,000 - $74,999",,,,,Nike,,,Bose ear buds,,,,Samsung,,,Digital watch,Nalgene,,,,headlamp,maglight,,,,,,,,Toothbrush - normal,,,,,Pen - ballpoint,,,,Calculator - advanced,,,Sunglasses - Oakley,,,Laptop - surface,,,,Sports/ running/ workout,Listening to/ playing music,,Movies/ Netflix/ TV,,Coding,,,,,,Korean dramas/ Asian style,Thrifting/ Flea markets,A17F06M11XQX6S,7/20/17 20:38,7/20/17 20:41,8b6cde0075
62fe6772e9d7e8a479cc78750e3e2afa,Female,25 - 34,"Below $35,000",,Herschel,Northface,,Nike,Sketchers,Apple ear pods,,Beats ear buds,,iPhone,Samsung,,Smart watch,Digital watch,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,,maglight,Speaker - beats,Speaker - cheap,Speaker - qsc,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,,,Pen - ballpoint,Pen - ink,Pen - mont blanc,Calculator - simple,,Calculator - app,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,,,Sports/ running/ workout,Listening to/ playing music,,Movies/ Netflix/ TV,,,Finding deals/ couponing,,,,,,,A15FMVAKY5RFYT,7/20/17 20:39,7/20/17 20:41,2600:8801:
afcb9aa6dde77d7fd35e7d37af2db5f8,Male,35 - 45,"Below $35,000",Camelback,,Northface,,,,,Bose ear buds,Beats ear buds,,,Samsung,,,,Nalgene,,,Keychain flashlight,headlamp,maglight,Speaker - beats,Speaker - cheap,,,,Bowl - simple,,Toothbrush - normal,,Couch - normal,,Couch - leather,,,,,,Calculator - app,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,,Hiking/ camping/ outdoors,,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,,,,,Car enthusiast,,,,,,A341KLOTTTS5I4,7/20/17 20:39,7/20/17 20:41,1f7a2b04f4
42d77f69bb3bf6fca3d26eef5cd8bcd2,Male,35 - 45,"$35,000 - $49,999",,Herschel,,,Nike,Sketchers,,,Beats ear buds,Flip phone,,Samsung,Analog watch,Smart watch,,,Nike bottle,,,headlamp,maglight,,,,,,,Toothbrush - design,,Toothbrush - Sonicare,,,Couch - leather,,Pen - ink,,,Calculator - advanced,Calculator - app,Sunglasses - aviators,,,Laptop - lenovo,Laptop - surface,,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,,,Coding,Finding deals/ couponing,Car enthusiast,,,,,Thrifting/ Flea markets,A2VI55LKT5L4KB,7/20/17 20:39,7/20/17 20:41,142bc8cb55
6153052777f2a965183b7dc77b1d9252,Female,25 - 34,"$50,000 - $74,999",,,Northface,,,Sketchers,,Bose ear buds,Beats ear buds,,iPhone,,,,,,,,,,,,,,,Bowl - rustic,,,,,Couch - normal,,,,,,,,,,,,Laptop - lenovo,,laptop - mac,,Museums/ photography/ art,,Listening to/ playing music,,Movies/ Netflix/ TV,,,Finding deals/ couponing,,Foodie/ fine dining,,,,Thrifting/ Flea markets,A106ENULARV9YI,7/20/17 20:39,7/20/17 20:41,2600:8804:
8d1c771edd3b084b5af16354fb6b5a82,Male,25 - 34,"Below $35,000",,,,,,,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop - surface,,,,,,,,,,Finding deals/ couponing,,,,,,,A3SCEKR5XEWDRU,7/20/17 20:39,7/20/17 20:41,720065a3c0
8e6c9109e3a1aef7e8cbbd1c52931807,Female,35 - 45,"$50,000 - $74,999",Camelback,Herschel,Northface,,Nike,Sketchers,Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,,Smart watch,,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,,maglight,Speaker - beats,Speaker - cheap,,,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,Couch - modern,,Pen - ballpoint,Pen - ink,Pen - mont blanc,Calculator - simple,Calculator - advanced,Calculator - app,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,Finding deals/ couponing,,Foodie/ fine dining,,,,Thrifting/ Flea markets,AGI9FFL4UEDTA,7/20/17 20:38,7/20/17 20:41,8b3ed848ae
847fb3582b942d017367710512d84d56,Female,25 - 34,"$50,000 - $74,999",,,,,,,Apple ear pods,,Beats ear buds,,iPhone,,,Smart watch,,,Nike bottle,Swell bottle,,,,Speaker - beats,,,,,,,Toothbrush - normal,,Couch - normal,,,Pen - ballpoint,,,Calculator - simple,,Calculator - app,Sunglasses - aviators,,,Laptop - lenovo,Laptop - surface,laptop - mac,,,Sports/ running/ workout,,,Movies/ Netflix/ TV,,,Finding deals/ couponing,,,,Fashion blogs / OOTD,,,A2GOR8PT17I9X8,7/20/17 20:39,7/20/17 20:41,2601:2c5:4
25613a10553f636f4f452fdf65588728,Female,35 - 45,"$50,000 - $74,999",,,,,,Sketchers,,Bose ear buds,Beats ear buds,Flip phone,,Samsung,,Smart watch,Digital watch,,,,,,,,,,,,,,,,,,Couch - leather,,,,,,,,,,,,,,,Sports/ running/ workout,,,,Design/ Making/ Crafting,,Finding deals/ couponing,,,,Fashion blogs / OOTD,,Thrifting/ Flea markets,A1T56P6L5730HG,7/20/17 20:39,7/20/17 20:41,1cfcda735a
82b9dd68e14b6412709b633f20ebfc69,Male,25 - 34,"$35,000 - $49,999",Camelback,Herschel,Northface,,,,Apple ear pods,Bose ear buds,Beats ear buds,,,,,Smart watch,Digital watch,Nalgene,,,,,,Speaker - beats,,,,,Bowl - simple,Toothbrush - design,,Toothbrush - Sonicare,,,Couch - leather,Pen - ballpoint,,,,,Calculator - app,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,,laptop - mac,,,Sports/ running/ workout,Listening to/ playing music,,,,,Finding deals/ couponing,,Foodie/ fine dining,,,,,AEWGY34WUIA32,7/20/17 20:39,7/20/17 20:41,fd7626fe56
ae5f4180c21f6cdf916e8b95d0fb5367,Male,25 - 34,"$35,000 - $49,999",,,,,Nike,,Apple ear pods,Bose ear buds,Beats ear buds,,,Samsung,,Smart watch,Digital watch,,,,Keychain flashlight,,maglight,,,,,Bowl - rustic,Bowl - simple,,,Toothbrush - Sonicare,Couch - normal,,Couch - leather,Pen - ballpoint,Pen - ink,Pen - mont blanc,,,Calculator - app,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,,,Museums/ photography/ art,,,,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,,,,,,,,A2MCG5W6LHSRG9,7/20/17 20:38,7/20/17 20:42,2605:6000:
166c688aa81262b945e2496dca892787,Male,25 - 34,"$35,000 - $49,999",,,,,,,,,,,,Samsung,,,,,,,,headlamp,,,,Speaker - qsc,,,,,Toothbrush - normal,,,,,,,,,,,,,,,Laptop - surface,,,,Sports/ running/ workout,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,,,,,,ADT6AD3LK64AH,7/20/17 20:41,7/20/17 20:42,6d7ae44e32
b94016a1b1f414a30eed01be692f43df,Female,18 - 24,"Below $35,000",,Herschel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laptop - mac,,,,,,,Design/ Making/ Crafting,Coding,,,,,,,,AF1MN25P3XFLG,7/20/17 20:39,7/20/17 20:42,5aac107932
633cfab81112574945e4727260b3b905,Female,25 - 34,"$35,000 - $49,999",,Herschel,Northface,,Nike,Sketchers,Apple ear pods,,,,iPhone,,,,,,Nike bottle,Swell bottle,,,,Speaker - beats,,Speaker - qsc,,Bowl - rustic,Bowl - simple,,Toothbrush - normal,,Couch - normal,Couch - modern,,Pen - ballpoint,,,Calculator - simple,,Calculator - app,,,Sunglasses - generic,,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,Museums/ photography/ art,,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,,,,,,A28Q62KFTLCFPC,7/20/17 20:39,7/20/17 20:42,bd24fe9ee0
0f5029201a8a249f8fca3cecae6e9f19,Male,25 - 34,"Below $35,000",Camelback,,,,,,,,,,,Samsung,,Smart watch,,,,,Keychain flashlight,headlamp,,,Speaker - cheap,,,,,,,,,,,,,,Calculator - simple,,,Sunglasses - aviators,,,Laptop - lenovo,,laptop - mac,Hiking/ camping/ outdoors,,,,,,,,,,,,Fashion blogs / OOTD,,Thrifting/ Flea markets,A2LFT9N17HS9FX,7/20/17 20:39,7/20/17 20:42,b7a862079f
00bafd94f2faa9c1011cfe3115a6adbd,Female,25 - 34,"$35,000 - $49,999",,Herschel,,,,,,,,,iPhone,,,,,,,,,,,,,Speaker - qsc,,,,,,,Couch - normal,,,,,,,,Calculator - app,,,,Laptop - lenovo,Laptop - surface,,Hiking/ camping/ outdoors,Museums/ photography/ art,,Listening to/ playing music,,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,,,Foodie/ fine dining,,,,,A1B6MZ6X8DX20T,7/20/17 20:40,7/20/17 20:42,2601:3cb:7
f3d1ef260500cc4050e53bdd8356262c,Female,25 - 34,"Below $35,000",,Herschel,,,,,,,Beats ear buds,,,Samsung,,,,,,,Keychain flashlight,,,,,Speaker - qsc,,,,,,,,,,,Pen - ink,Pen - mont blanc,,,,,,,Laptop - lenovo,,,,Museums/ photography/ art,,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,Coding,Finding deals/ couponing,,,,,,,A3RVHUY67SVXQV,7/20/17 20:42,7/20/17 20:43,2601:195:1
6232b0b0e4b9444f773a72a2472c18a1,Female,46+,"Below $35,000",,,,,,,Apple ear pods,Bose ear buds,,,,,,Smart watch,,,,,Keychain flashlight,,maglight,,,,,,,,,,,,Couch - leather,,Pen - ink,Pen - mont blanc,Calculator - simple,,Calculator - app,,Sunglasses - Oakley,,,,laptop - mac,Hiking/ camping/ outdoors,,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,Finding deals/ couponing,,,,,,Thrifting/ Flea markets,A19L8SNH73AX1Z,7/20/17 20:41,7/20/17 20:43,2605:e000:
e91d7296afd1a6cf4905d9f47bc9388f,Male,25 - 34,"$35,000 - $49,999",,,,,Nike,,Apple ear pods,,Beats ear buds,,iPhone,Samsung,Analog watch,,,,,,Keychain flashlight,,maglight,Speaker - beats,,,,,,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,,Couch - modern,,,Pen - ink,,,,,Sunglasses - aviators,Sunglasses - Oakley,,,,,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,,Finding deals/ couponing,,Foodie/ fine dining,,,,Thrifting/ Flea markets,A19C6T7B0H4PAQ,7/20/17 20:42,7/20/17 20:44,27ec7424ac
04d3f6b780216a034867b889f693c1b7,Female,46+,"Below $35,000",,,,,Nike,Sketchers,Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,,Smart watch,,Nalgene,,Swell bottle,Keychain flashlight,,maglight,,Speaker - cheap,Speaker - qsc,Bowl - pattern,Bowl - rustic,Bowl - simple,,,Toothbrush - Sonicare,Couch - normal,,Couch - leather,Pen - ballpoint,,,,,,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,,laptop - mac,Hiking/ camping/ outdoors,,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,,,Thrifting/ Flea markets,A1NGABF082HR2P,7/20/17 20:41,7/20/17 20:44,9fb8d591e7
419bb4a7a80d9ff39f9707191b4b2630,Male,25 - 34,"$35,000 - $49,999",Camelback,,,Air Jordan,Nike,,Apple ear pods,,Beats ear buds,Flip phone,iPhone,Samsung,,Smart watch,,Nalgene,,,,headlamp,,Speaker - beats,,,,,,,Toothbrush - normal,,,Couch - modern,Couch - leather,Pen - ballpoint,,,,,,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,,,Hiking/ camping/ outdoors,,Sports/ running/ workout,Listening to/ playing music,,Movies/ Netflix/ TV,,Coding,,Car enthusiast,,Hip hop/ street wear,,Korean dramas/ Asian style,,A5DSYVNGYLCA5,7/20/17 20:42,7/20/17 20:44,cb6dab767a
