#,Gender,Age,Income,Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,headlamp,maglight,BMW,Tesla,Honda,Bike - cheapest,bike - road,bike - pricey,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,Pen - ink,Pen - mont blanc,Sunglasses - aviators,Sunglasses - Oakley,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,Fan - box,fan - clip fan,Fan - dyson,notebook - baron fig,notebook - composition,notebook - moleskin,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,Hip hop/ street wear,Fashion blogs / OOTD,Korean dramas/ Asian style,Thrifting/ Flea markets,Please enter your Mechanical Turk worker ID here.,Start Date (UTC),Submit Date (UTC),Network ID
ef9fefc788556e8e77931ae3e2e2a030,Male,25 - 34,"$35,000 - $49,999",,,Beats ear buds,,,,,,,,,Swell bottle,,,,,,,,bike - road,,,,,,,,,,,,,,,,,Camera - canon,,,Fan - box,,,,,notebook - moleskin,Hiking/ camping/ outdoors,,Sports/ running/ workout,,Travel/ roadtrips/ exploration,,,,,,,,,,,ADT6AD3LK64AH,7/20/17 21:08,7/20/17 21:09,6d7ae44e32
9348545f8526ea39883cd1bed7e1c053,Male,25 - 34,"Below $35,000",,,,,,,,,Digital watch,,,,,,,,,Honda,,,bike - pricey,,,,,,,,,,,Sunglasses - Oakley,,,,,,,camera - point and shoot,Fan - box,,,,,,,,Sports/ running/ workout,Listening to/ playing music,,,,,Finding deals/ couponing,,,,,,,A110TF61JJR34O,7/20/17 21:08,7/20/17 21:10,be211975db
f4c6350bcc6667b9c2e54249d1f5732f,Male,35 - 45,"Below $35,000",,Bose ear buds,,,iPhone,Samsung,,,,,,,,,,BMW,,,,bike - road,,,,,,,,Pen - ballpoint,,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,,,camera - point and shoot,,,,,,,,Museums/ photography/ art,,,,Movies/ Netflix/ TV,,,,,,,,,Thrifting/ Flea markets,A1LOIVWMRQ8QS4,7/20/17 21:10,7/20/17 21:11,ac57a1eb7b
49b8bd2b8625718edd3d87697f5a0066,Male,25 - 34,"Below $35,000",Apple ear pods,,,,,,,,,Nalgene,,,,,,,Tesla,,,,,,,,,Toothbrush - normal,,,,,,,Sunglasses - generic,,,,,,,Fan - box,,Fan - dyson,,,,,,Sports/ running/ workout,,,,,,,,Foodie/ fine dining,,,,,A1A3TGZ7DKJWRW,7/20/17 21:11,7/20/17 21:11,6646657116
27edb2239595da642c43918eecb3f8ad,Female,25 - 34,"$50,000 - $74,999",,,,,,,,Smart watch,,,,,,,,BMW,,,Bike - cheapest,,,,Bowl - rustic,,,,,,,,,Sunglasses - Oakley,Sunglasses - generic,,,,Camera - canon,,,Fan - box,fan - clip fan,,,,,,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,,,,Foodie/ fine dining,,,,,A27O2IILV3S5YS,7/20/17 21:10,7/20/17 21:11,2601:147:4
5de576a092b1fc84bb12ad2a042d78ce,Male,46+,"$35,000 - $49,999",,,,,,,,,,,,,,,,,Tesla,,,,,,,,,,,,,,,,,,,,Camera - canon,,,,,,,,,,,,,,,,Coding,,,,,,,,A1I29LCZ5N91PB,7/20/17 21:10,7/20/17 21:11,bc9e4755cb
bcdc8506bbbab97a233107ed6f7e1c7e,Female,35 - 45,"$50,000 - $74,999",,,Beats ear buds,Flip phone,,Samsung,,,,,,,,,,BMW,,,,,,Bowl - pattern,,Bowl - simple,,Toothbrush - normal,,Pen - ballpoint,,,,,Sunglasses - generic,,Laptop - surface,,,,camera - point and shoot,,,,,,,,,,Listening to/ playing music,,Movies/ Netflix/ TV,,,,,,,,,Thrifting/ Flea markets,A3AV8KOZW78IEW,7/20/17 21:10,7/20/17 21:11,393030a7dc
c3427d4dd0de19bc495e8f3c45fb27ed,Male,18 - 24,"Below $35,000",,,,,,Samsung,,,,Nalgene,,,,,,,,Honda,,bike - road,,,,,,,,,,,,,,Laptop - lenovo,,,,,camera - point and shoot,,fan - clip fan,,,,,,,Sports/ running/ workout,,,,,,,,,,,,,AA0AU5KTGOHQR,7/20/17 21:10,7/20/17 21:11,7412fbab82
00c454dd004456877bdc0688f9ce29fa,Male,25 - 34,"Below $35,000",Apple ear pods,,Beats ear buds,,,,,,,,,,,headlamp,maglight,BMW,,Honda,,,,,,,,,,,,Pen - mont blanc,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,,,,,,,,notebook - composition,notebook - moleskin,Hiking/ camping/ outdoors,Museums/ photography/ art,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,,Finding deals/ couponing,Car enthusiast,,,,,,AGDJB8B8CDZ71,7/20/17 21:09,7/20/17 21:12,217d866a23
0b027497ca8444b163f15c986fc3ab76,Female,35 - 45,"$50,000 - $74,999",Apple ear pods,Bose ear buds,Beats ear buds,,iPhone,Samsung,Analog watch,Smart watch,Digital watch,,,,Keychain flashlight,,maglight,BMW,Tesla,Honda,Bike - cheapest,bike - road,,,,,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,,,,,Sunglasses - Oakley,,Laptop - lenovo,Laptop - surface,laptop - mac,,,camera - point and shoot,Fan - box,fan - clip fan,,,notebook - composition,notebook - moleskin,,,,,,Movies/ Netflix/ TV,,,Finding deals/ couponing,,Foodie/ fine dining,Hip hop/ street wear,,,Thrifting/ Flea markets,A1Y508FNU04ZLH,7/20/17 21:09,7/20/17 21:12,2602:304:6
c76517fb2243a343f365e631344f431f,Male,25 - 34,"$50,000 - $74,999",,Bose ear buds,Beats ear buds,,iPhone,,Analog watch,,,,,Swell bottle,,,,BMW,Tesla,Honda,,bike - road,,,Bowl - rustic,Bowl - simple,,Toothbrush - normal,Toothbrush - Sonicare,,,,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,,,,,,,notebook - moleskin,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,,,Foodie/ fine dining,,,,,A1K4D3NM0XYXZR,7/20/17 21:10,7/20/17 21:12,6881fb7e06
698acac5efb6efe74a184655c8a9a089,Female,46+,"$50,000 - $74,999",,,,,,,,,,,,,,,,,Tesla,,,,,,,Bowl - simple,,,,,,,,,,,,,,,,,,,,,,Hiking/ camping/ outdoors,,,,,,,,,,,,,,,A1BAEFJ2OG7NJ0,7/20/17 21:09,7/20/17 21:12,2a72ce9430
cb51620ddb06e2403ea070b635f61915,Male,25 - 34,"$50,000 - $74,999",Apple ear pods,,Beats ear buds,,iPhone,,,,,,Nike bottle,,,,,,,,Bike - cheapest,,,Bowl - pattern,Bowl - rustic,,Toothbrush - design,Toothbrush - normal,,Pen - ballpoint,,Pen - mont blanc,Sunglasses - aviators,Sunglasses - Oakley,,,Laptop - surface,laptop - mac,Camera - canon,,camera - point and shoot,Fan - box,,Fan - dyson,,,notebook - moleskin,Hiking/ camping/ outdoors,,,,Travel/ roadtrips/ exploration,,,Coding,,Car enthusiast,,Hip hop/ street wear,Fashion blogs / OOTD,,,A21T7YH1PNOXF6,7/20/17 21:11,7/20/17 21:12,fa55e605c1
44c78404b59245cfc303c4d341810280,Female,25 - 34,"$35,000 - $49,999",,,,,iPhone,Samsung,,,,,,,,,,BMW,Tesla,Honda,Bike - cheapest,,,,,,,,,Pen - ballpoint,,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,,,,,,,notebook - baron fig,notebook - composition,notebook - moleskin,Hiking/ camping/ outdoors,Museums/ photography/ art,,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,,Finding deals/ couponing,,Foodie/ fine dining,,,Korean dramas/ Asian style,Thrifting/ Flea markets,A2UQOH9SCN8EL3,7/20/17 21:10,7/20/17 21:12,2602:306:b
f034130184d94db28e9dfe88aea17068,Male,35 - 45,"Below $35,000",Apple ear pods,Bose ear buds,Beats ear buds,,iPhone,Samsung,,Smart watch,Digital watch,,Nike bottle,,Keychain flashlight,,maglight,BMW,Tesla,Honda,,,,,,,,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,,,,Sunglasses - Oakley,,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,,,,,,,,,,Listening to/ playing music,,Movies/ Netflix/ TV,,Coding,,,,,,,,A2MCRVU8I9VNHG,7/20/17 21:10,7/20/17 21:12,0708ad4baf
50ca19891b8ea701e4a171d342ddfc38,Female,46+,"Below $35,000",,,,,,Samsung,,,,,,,,,,,Tesla,,Bike - cheapest,,,Bowl - pattern,,,,,Toothbrush - Sonicare,Pen - ballpoint,Pen - ink,,,Sunglasses - Oakley,Sunglasses - generic,Laptop - lenovo,Laptop - surface,,Camera - canon,,camera - point and shoot,Fan - box,fan - clip fan,,,,,Hiking/ camping/ outdoors,Museums/ photography/ art,,Listening to/ playing music,,,,,,,,,,,Thrifting/ Flea markets,A3JHXEH79DJ83L,7/20/17 21:09,7/20/17 21:12,bbbb05e2fa
6c46b54b6d013253fc5f3a6117468693,Male,35 - 45,"$35,000 - $49,999",Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,headlamp,maglight,BMW,Tesla,Honda,Bike - cheapest,bike - road,bike - pricey,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,Pen - ink,Pen - mont blanc,Sunglasses - aviators,Sunglasses - Oakley,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,Fan - box,fan - clip fan,Fan - dyson,notebook - baron fig,notebook - composition,notebook - moleskin,,,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,Finding deals/ couponing,,Foodie/ fine dining,,,,Thrifting/ Flea markets,AGNJKSH5LFKXZ,7/20/17 21:10,7/20/17 21:12,03b968464a
6f1a04ce2d4607068478d78c37b91c06,Male,25 - 34,"$35,000 - $49,999",Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,headlamp,maglight,BMW,Tesla,Honda,Bike - cheapest,bike - road,bike - pricey,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,Pen - ink,Pen - mont blanc,Sunglasses - aviators,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,Fan - box,fan - clip fan,Fan - dyson,notebook - baron fig,notebook - composition,notebook - moleskin,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,,,,,Car enthusiast,Foodie/ fine dining,,,,,A1GPZ5REMDQZ0L,7/20/17 21:11,7/20/17 21:12,19750b844e
194e4035abcae27e4c1d6fad203cc347,Female,25 - 34,"$35,000 - $49,999",Apple ear pods,Bose ear buds,,,,,Analog watch,,,,,,,,,,,,,,,Bowl - pattern,,,,,,,Pen - ink,,,,,,,,,,,,,,,,,Hiking/ camping/ outdoors,,,,,,,,,,,,,,,A2YSSM96QE9A4T,7/20/17 21:11,7/20/17 21:12,25dc4d6dd7
4231bc39e59d799fae9d514b76d99032,Female,35 - 45,"$50,000 - $74,999",,,Beats ear buds,,iPhone,Samsung,,,,,,,,,,BMW,Tesla,Honda,Bike - cheapest,,,,,,,Toothbrush - normal,,,,,,,,Laptop - lenovo,Laptop - surface,,,,,,fan - clip fan,,,,,,,,Listening to/ playing music,,Movies/ Netflix/ TV,Design/ Making/ Crafting,,Finding deals/ couponing,,,,,,Thrifting/ Flea markets,A1C66QKNXGH895,7/20/17 21:11,7/20/17 21:12,5e009d8013
9a4ed1d699012e45e387a78581d23cb3,Male,25 - 34,"$75,000 - $100,000",,,,,,Samsung,,,,Nalgene,,,,,,,,,,,,,Bowl - rustic,Bowl - simple,,Toothbrush - normal,,,,,,,,,,,,,,,,,,notebook - composition,,,Museums/ photography/ art,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,Coding,,,Foodie/ fine dining,,,,,A3ATU3VULAB7K2,7/20/17 21:11,7/20/17 21:12,3d9d5641fb
40cd95d8fe32b04dab03579249ed0466,Male,25 - 34,"Below $35,000",,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,,Smart watch,,Nalgene,,,Keychain flashlight,headlamp,maglight,BMW,Tesla,Honda,Bike - cheapest,bike - road,,,,,Toothbrush - design,,,Pen - ballpoint,Pen - ink,Pen - mont blanc,,Sunglasses - Oakley,,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,,camera - point and shoot,Fan - box,fan - clip fan,,notebook - baron fig,notebook - composition,notebook - moleskin,Hiking/ camping/ outdoors,Museums/ photography/ art,,,,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,,,Thrifting/ Flea markets,A2W547SNOCMC25,7/20/17 21:11,7/20/17 21:13,2607:fcc8:
2df5371c6915b048ee9f43c463cd6890,Male,18 - 24,"$35,000 - $49,999",,,,,,Samsung,,,,,,,,,,,Tesla,,,,,,,,,,,Pen - ballpoint,,,,,,,Laptop - surface,,,Camera - film,,,,,,,,Hiking/ camping/ outdoors,,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,,,,A32ZFGTU43FGEZ,7/20/17 21:10,7/20/17 21:13,8af9f5311b
4c3379ab9270de76329e7ae68078a986,Female,46+,"Below $35,000",Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,,Swell bottle,Keychain flashlight,headlamp,maglight,BMW,Tesla,Honda,,bike - road,,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,,Pen - ballpoint,Pen - ink,,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,,Camera - film,,Fan - box,fan - clip fan,Fan - dyson,,notebook - composition,notebook - moleskin,,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,,Design/ Making/ Crafting,Coding,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,,Fashion blogs / OOTD,,,A1B4WL7N3ACF2T,7/20/17 21:10,7/20/17 21:13,2601:601:4
4b89b41cc31a4379499c1d8c44cc95a3,Female,46+,"Below $35,000",,,,,iPhone,,,,,,,,,,maglight,BMW,,,,,,Bowl - pattern,,,,,,Pen - ballpoint,Pen - ink,Pen - mont blanc,,,,Laptop - lenovo,Laptop - surface,,,,,Fan - box,fan - clip fan,,,,,,,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,Finding deals/ couponing,,Foodie/ fine dining,,,,Thrifting/ Flea markets,A12HOUMF83VDNG,7/20/17 21:09,7/20/17 21:13,6f8cf31f97
ee1103d0be5c9e7cd5f723f34bb039fd,Female,25 - 34,"$50,000 - $74,999",,,,,,,,,,Nalgene,,,,,,,,Honda,,,,,,,,,,,,,Sunglasses - aviators,,,,,laptop - mac,,,,,,,,,,,,,Listening to/ playing music,,,,,Finding deals/ couponing,,,,,,,A2DPKKEEW2I6QK,7/20/17 21:13,7/20/17 21:13,ffaf6da26f
60ee4c300b36383edbe2d782c0e0f362,Female,18 - 24,"Below $35,000",Apple ear pods,,,,iPhone,,,,,,,Swell bottle,,,,,,,,,,,,,,Toothbrush - normal,,,,,,,,Laptop - lenovo,Laptop - surface,,,,,,,,,,,,Museums/ photography/ art,,,,Movies/ Netflix/ TV,,,,,,,Fashion blogs / OOTD,,,AHPQVIEIBZOAS,7/20/17 21:11,7/20/17 21:13,2602:30a:2
b8e327a5114ebbfb3c7899badc3530b0,Female,46+,"Below $35,000",Apple ear pods,,Beats ear buds,,iPhone,Samsung,Analog watch,,,Nalgene,,,Keychain flashlight,headlamp,maglight,BMW,Tesla,Honda,Bike - cheapest,bike - road,bike - pricey,Bowl - pattern,Bowl - rustic,Bowl - simple,,,Toothbrush - Sonicare,Pen - ballpoint,,Pen - mont blanc,Sunglasses - aviators,Sunglasses - Oakley,Sunglasses - generic,,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,Fan - box,fan - clip fan,Fan - dyson,,notebook - composition,,Hiking/ camping/ outdoors,Museums/ photography/ art,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,,,,,Thrifting/ Flea markets,A3MD34XEB4H6JF,7/20/17 21:10,7/20/17 21:13,2600:1:990
0e794c3d6fab11f23a53e6aff356fe4c,Female,46+,"Below $35,000",,,,Flip phone,iPhone,Samsung,,,,Nalgene,,Swell bottle,Keychain flashlight,headlamp,maglight,BMW,Tesla,Honda,Bike - cheapest,bike - road,bike - pricey,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,,Pen - mont blanc,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,,camera - point and shoot,Fan - box,fan - clip fan,,notebook - baron fig,notebook - composition,notebook - moleskin,Hiking/ camping/ outdoors,Museums/ photography/ art,,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,,,Thrifting/ Flea markets,A2WD7K61WGL37E,7/20/17 21:10,7/20/17 21:14,c9f65124da
a88ef8b65a43c02b67aae10cdb76d499,Male,18 - 24,"Below $35,000",,,,,,Samsung,,,,Nalgene,,,,,,,,Honda,,,bike - pricey,,,,,,,,,,,,,,,laptop - mac,,,camera - point and shoot,,,Fan - dyson,,,,,,,Listening to/ playing music,,,,Coding,,,,,,,,A1KC7HDBADU451,7/20/17 21:12,7/20/17 21:14,79d8547756
ca806a0980abc74deed6ae51b98cf81a,Female,25 - 34,"Below $35,000",Apple ear pods,,,,iPhone,,,,,,,,,,,BMW,,Honda,,,,,,,,,,Pen - ballpoint,,,,,,,,laptop - mac,,,,,,,,notebook - composition,,,Museums/ photography/ art,,,,Movies/ Netflix/ TV,,,Finding deals/ couponing,,,,,,,A33QI63NVR8CUO,7/20/17 21:09,7/20/17 21:14,e4d5c12c05
b52424fba0cdfca4586665056d8c4a20,Male,25 - 34,"Below $35,000",,,,,iPhone,,,,,,,Swell bottle,,,,,,,,,,,,Bowl - simple,,,,,,,,,,,Laptop - surface,,,Camera - film,,,,,,,,,,,,,,,Coding,,,,Hip hop/ street wear,,,Thrifting/ Flea markets,A7KLTVEIASF4J,7/20/17 21:14,7/20/17 21:14,2601:4c4:2
55518fbd8e777bf3b91fcd4bb6a17b4f,Male,18 - 24,"$35,000 - $49,999",,,,,,,,,,,,,,,,,,,,bike - road,,,,,,,,,,,,Sunglasses - Oakley,,,,,,,,,,,,,,,,,,,,,,,Car enthusiast,,,,,,A25W9P8DAZOZS4,7/20/17 21:14,7/20/17 21:15,007b3648d6
